Feature	Gain	Cover	Frequency
ctrx_quarter	0.163195041294967	0.0196893547919817	0.0187850257789733
cpayroll_trx	0.0754420150926303	0.0167192042597713	0.00564895763281775
mtarjeta_visa_consumo	0.0674355011907592	0.0151851121600662	0.0150190540237615
mcaja_ahorro	0.0526128105660925	0.0212486936794298	0.0221923335574983
mcuentas_saldo	0.0513914745323581	0.0286023985419235	0.0338040798027348
ctarjeta_visa_transacciones	0.0489301961725056	0.0129132335301261	0.0163192109392513
mpayroll	0.0310481306256311	0.0183571238820757	0.00887693342299933
mprestamos_personales	0.0235667219697998	0.0202595876742321	0.00919076440260031
mactivos_margen	0.0221194314277251	0.0287686678957678	0.0263618022864829
mrentabilidad_annual	0.0209231026332742	0.0268998117640321	0.0318314279309572
mpasivos_margen	0.0183485329265187	0.011947303732027	0.0176642008518269
cliente_edad	0.0153674623976335	0.0304338789649264	0.0348800717327953
mcuenta_corriente	0.014734197818654	0.0211159612909159	0.0216991705895539
Visa_fechaalta	0.014151678043921	0.01801591167231	0.0246581483972204
Visa_mpagominimo	0.0138475788371876	0.0189338347910992	0.0246581483972204
Master_fechaalta	0.0137391543825491	0.0181062851337269	0.0271239632369424
Visa_status	0.0135861062848505	0.0241695210326491	0.00739744451916611
Visa_Fvencimiento	0.0119507741910499	0.0183695662179659	0.0272136292311141
chomebanking_transacciones	0.011783732418582	0.018593726995744	0.0249719793768213
mtransferencias_recibidas	0.0114216691387962	0.0148619892529025	0.018874691773145
numero_de_cliente	0.0110068382672363	0.0206843284896731	0.025375476350594
Visa_msaldopesos	0.0107859754768078	0.00756157827697101	0.010535754315176
cproductos	0.0105732012072278	0.0103856562571307	0.0101770903384891
Visa_msaldototal	0.0105056770524009	0.0117221194464418	0.0153777180004483
Master_Fvencimiento	0.0103608216942743	0.0169134995039078	0.0249271463797355
cliente_antiguedad	0.00966655472876208	0.0163904956549741	0.0233131584846447
Visa_mconsumospesos	0.00949690906519813	0.0184568039593781	0.0211611746245236
Master_mfinanciacion_limite	0.00947241613497386	0.016152716646304	0.0215198386012105
mrentabilidad	0.00893434807780879	0.0121258261160199	0.0193230217440036
Visa_mpagospesos	0.0086038692626069	0.0201244233746124	0.0205335126653217
cmobile_app_trx	0.00813196978967265	0.0176289927301717	0.019816184711948
Visa_mconsumosdolares	0.00803622585741288	0.00971407253694404	0.0172607038780543
mcaja_ahorro_dolares	0.00781519362802258	0.0146237923576988	0.0179331988343421
mcomisiones	0.00752746298528475	0.00654339773764196	0.0140327280878727
mcomisiones_mantenimiento	0.00729708548224668	0.0121601972834156	0.0106702533064335
Visa_mfinanciacion_limite	0.00692112363338243	0.00892040782184649	0.0149293880295898
ccallcenter_transacciones	0.00670223843346576	0.00667452848961042	0.00358663976686842
mcuenta_debitos_automaticos	0.00647955889005097	0.00999892740623518	0.00793544048419637
Master_mlimitecompra	0.00633552418220162	0.0125206016391918	0.0137637301053575
Visa_cconsumos	0.00624284290762129	0.0126658926177445	0.0146155570499888
mcomisiones_otras	0.00609487393781041	0.00703297851889071	0.0134050661286707
mtransferencias_emitidas	0.00562680794417928	0.0131894400333724	0.0145258910558171
mautoservicio	0.00542339861891888	0.0125950294302443	0.0130464021519839
ccomisiones_mantenimiento	0.00532678894245701	0.0015435471752803	0.00331764178435328
mtarjeta_master_consumo	0.00526592368314278	0.00505101102819922	0.00264514682806546
Master_status	0.00518664874295298	0.0117725548948535	0.00313830979600986
thomebanking	0.00506343975908283	0.004715364878542	0.00555929163864604
ctarjeta_debito_transacciones	0.00498712130829102	0.012104312029044	0.0108944182918628
Visa_mlimitecompra	0.00441750137098607	0.00869761774331895	0.0103115893297467
ccomisiones_otras	0.00403218478456441	0.00452878953826467	0.00735261152208025
