fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210924 143842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	379	TRUE	0.0293561135917682	0.851971653897799	3239	803	0.0439032692940854	8776250
20210924 144106	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	314	TRUE	0.0283939797684638	0.86779746540579	3150	537	0.0449085824613232	8597500
20210924 144253	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	191	TRUE	0.0349285897026985	0.843114494522337	2949	862	0.0443086276680202	8736250
20210924 144531	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	308	TRUE	0.0340280148632902	0.846423433062059	3439	784	0.0445835285617173	8886250
20210924 144737	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	295	TRUE	0.0343859961280231	0.827698443245853	3568	843	0.0426804036992998	8525000
20210924 144923	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	198	TRUE	0.0349398266610492	0.854775894787423	3159	790	0.0429298549546684	8612500
20210924 145003	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.0718213878310495	0.915763098689169	5000	1013	0.0429240433808174	8257500
20210924 145327	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	366	TRUE	0.0183138535131724	0.545442981180362	3930	737	0.0438200744933757	8495000
20210924 145503	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	178	TRUE	0.0682578205253976	0.919612263477408	2232	651	0.0420543110433742	8632500
20210924 145613	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	184	TRUE	0.0739338156099967	0.839111682120711	4861	952	0.0435632837097549	8378750
20210924 145734	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.0898991166642681	0.46923294366654	1007	247	0.0404330510594401	8157500
20210924 145858	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	217	TRUE	0.0440794290680136	0.71960915681161	5489	401	0.0458089338198632	8002500
20210924 150029	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	252	TRUE	0.0600921697797673	0.405379159693047	7884	860	0.0486821521231156	8027500
