Feature	Gain	Cover	Frequency
ctrx_quarter	0.184929822455076	0.028009880726519	0.0261847577763459
cpayroll_trx	0.0807888514771121	0.0197421276285828	0.00925546248022963
mtarjeta_visa_consumo	0.0577777070457351	0.0171148812059722	0.0168121375432019
mcuentas_saldo	0.0550173054324719	0.0247539878614484	0.0386620584617187
mcaja_ahorro	0.0292725699942016	0.017603914988196	0.0237244449651456
ctarjeta_visa_transacciones	0.028622683823317	0.0118293245328464	0.0171050319254877
mrentabilidad_annual	0.0241377048675343	0.0210047308203131	0.0296994903637748
mactivos_margen	0.0210972821576309	0.0197861577001051	0.0223771308066311
cliente_edad	0.0183098296928918	0.0348978811570704	0.0387206373381759
mprestamos_personales	0.0182875010630972	0.0220814351333584	0.00907972585085818
Visa_mpagominimo	0.0167958908558788	0.0256631666639851	0.0318083299162322
Master_fechaalta	0.0165707136365576	0.0198243508349428	0.0284693339581747
Visa_status	0.0163959338765194	0.015968218734976	0.00392478472262902
mpayroll	0.0161455005674903	0.0286609184737171	0.0156405600140589
Visa_Fvencimiento	0.0157044022547779	0.0210306178325454	0.0268291254173745
Visa_fechaalta	0.0150942216049736	0.0177007254019929	0.0263019155292601
mcuenta_corriente	0.0146917798750354	0.0197387507428708	0.022318551930174
numero_de_cliente	0.014645988722067	0.0177785389999905	0.0244859703590885
Master_Fvencimiento	0.0138281249897297	0.0176861469961695	0.0292308593521176
chomebanking_transacciones	0.0137534693340647	0.0152317730642673	0.022728604065374
mtransferencias_recibidas	0.0126304268414161	0.0190381819157144	0.0222599730537168
Master_mfinanciacion_limite	0.0121002808394465	0.0121380880682171	0.0212055532774881
mrentabilidad	0.0115429666412093	0.0128945603435042	0.0192138714779451
Visa_mconsumospesos	0.0110608531673224	0.0196997111862018	0.0207955011422881
Visa_mpagospesos	0.0110534841664216	0.0162001984611282	0.0202682912541737
cliente_antiguedad	0.0105049045781937	0.0119305474888768	0.0207369222658309
cmobile_app_trx	0.0097934247303132	0.0152106917330047	0.0181594517017164
cproductos	0.00963392271239723	0.0103967137756013	0.0106027766387441
mpasivos_margen	0.00934154486291558	0.0112246243468425	0.0173979263077734
Visa_msaldototal	0.00869764713217254	0.00841346674326183	0.0110714076504013
Visa_mconsumosdolares	0.00866605881302212	0.0081867357126254	0.0141760881026302
cprestamos_personales	0.0084257788611764	0.00781358837451908	0.00269462831702888
Visa_mfinanciacion_limite	0.00790880399361546	0.00549951949644819	0.0129459316970301
ccomisiones_mantenimiento	0.00790528999100097	0.00729751603563029	0.00363189034034327
mcaja_ahorro_dolares	0.00752185847269361	0.00966105438236502	0.0141760881026302
mtransferencias_emitidas	0.00747726061429055	0.01858440152942	0.0206197645129166
mcomisiones_mantenimiento	0.00734876024017667	0.00863020940951395	0.00855251596274384
mcomisiones_otras	0.00672388724382466	0.0063537028839801	0.011364302032687
Visa_cconsumos	0.00648339924270464	0.0176289878511798	0.0139417725968016
mcomisiones	0.00633792941174307	0.00556904197453097	0.0110714076504013
Visa_msaldopesos	0.00567357906686986	0.00530391390501081	0.00984125124480112
mcuenta_debitos_automaticos	0.00558255777293042	0.0113763641635429	0.00761525393942944
Master_status	0.00547479314228304	0.00620473117472471	0.00164020854080019
Master_mlimitecompra	0.00546172386480011	0.00854639897885323	0.00989983012125827
mautoservicio	0.0053096400929089	0.00958858336376051	0.0131216683264015
mttarjeta_visa_debitos_automaticos	0.00524654045883409	0.00766782778725477	0.00978267236834397
ccallcenter_transacciones	0.00505848432210468	0.00574647076716002	0.00292894382285748
Master_msaldopesos	0.00503536189621961	0.00937134193941018	0.00620936090445785
ccomisiones_otras	0.00439660003224893	0.00476514953958936	0.00779099056880089
thomebanking	0.00425379856251169	0.00340071167969065	0.00333899595805752
ctarjeta_debito_transacciones	0.00425298992282596	0.0135177952605987	0.0120672485501728
ctransferencias_emitidas	0.00399057965528068	0.0135349686754683	0.0118329330443442
mpagomiscuentas	0.0039766936431822	0.0134549106660288	0.00937262023314393
ctransferencias_recibidas	0.00393895806125164	0.00664130880743782	0.00890398922148673
Visa_fultimo_cierre	0.00383342488493558	0.0160783063827341	0.00656083416320075
