Feature	Gain	Cover	Frequency
ctrx_quarter	0.203823755116662	0.0304264728358313	0.0299873737373737
cpayroll_trx	0.0910953403322669	0.0265942311722771	0.0104955808080808
mtarjeta_visa_consumo	0.0621589202222904	0.0166868205240049	0.0196496212121212
mcuentas_saldo	0.056924979085148	0.0249613823658046	0.0391414141414141
ctarjeta_visa_transacciones	0.0334608467716052	0.0120410464014637	0.0170454545454545
mcaja_ahorro	0.0288427943104569	0.0184488414411733	0.026199494949495
mrentabilidad_annual	0.0231687963444474	0.0191290548505412	0.0283301767676768
mprestamos_personales	0.0225966700903727	0.0217104110030747	0.0102588383838384
mactivos_margen	0.0199894314402607	0.0178564608697718	0.0218592171717172
Visa_mpagominimo	0.0180533750732832	0.0318976141094778	0.0378787878787879
mpayroll	0.0175588927115584	0.0379299579749293	0.0213857323232323
cliente_edad	0.0171410956421891	0.035835480993687	0.0408775252525253
Visa_status	0.0161182253134263	0.016938858292226	0.00378787878787879
Master_fechaalta	0.0155069081569977	0.0189618824245186	0.0280934343434343
Visa_fechaalta	0.0129038291994147	0.0175983181190973	0.0257260101010101
Visa_Fvencimiento	0.0127493219410908	0.0192887875506107	0.0239109848484849
numero_de_cliente	0.0124987995265078	0.0183007331817398	0.0259627525252525
Master_Fvencimiento	0.0121560033164048	0.014734753958483	0.0253314393939394
mcuenta_corriente	0.0120362740121126	0.0169450052477455	0.0185448232323232
chomebanking_transacciones	0.0114158609881124	0.0150570189621259	0.0207544191919192
mtransferencias_recibidas	0.01104154695737	0.0182772009822722	0.0209122474747475
mcomisiones_mantenimiento	0.0105707808370706	0.00680711839526996	0.0087594696969697
Visa_mpagospesos	0.00947333006965322	0.0159856058910508	0.0194917929292929
Master_mfinanciacion_limite	0.00942151187688504	0.0111936374808869	0.0190183080808081
mpasivos_margen	0.00941141120311273	0.0107282967884271	0.0175978535353535
Visa_mconsumospesos	0.00919364708914472	0.0168090901639927	0.0183869949494949
mrentabilidad	0.00909020662768793	0.0126357166036169	0.0173611111111111
cproductos	0.00902037435598749	0.0120048068562567	0.00970643939393939
cmobile_app_trx	0.00866765214871416	0.011141525820762	0.0175978535353535
Visa_msaldototal	0.00849895264202522	0.00837738536029741	0.0101799242424242
cliente_antiguedad	0.00839116883595144	0.00768450028229615	0.0168876262626263
mcaja_ahorro_dolares	0.00705237921950892	0.00918204261447324	0.0149147727272727
Visa_cconsumos	0.00688334403947829	0.0136892132783826	0.0144412878787879
Visa_msaldopesos	0.00676693817011658	0.0051275766514965	0.0101010101010101
mtransferencias_emitidas	0.00666564826726341	0.0205407223882819	0.0250157828282828
cprestamos_personales	0.00656586918005418	0.00780227460691248	0.00284090909090909
Visa_mconsumosdolares	0.00646174837019956	0.00615665549510142	0.0120738636363636
Visa_mfinanciacion_limite	0.00627585098814313	0.00585959531760732	0.0119160353535354
mcomisiones_otras	0.00619637712038605	0.00539059457379002	0.0113636363636364
mcomisiones	0.0057920720943225	0.00463285901012492	0.0101010101010101
ccallcenter_transacciones	0.00558824405484487	0.00607133264648328	0.00370896464646465
mcuenta_debitos_automaticos	0.00551507048340815	0.0134789219216312	0.00891729797979798
Master_status	0.0055096720688639	0.00953076953759234	0.0022885101010101
thomebanking	0.00546284047476368	0.00316747224383054	0.00355113636363636
ctarjeta_debito_transacciones	0.0051045926859502	0.0155601480059291	0.0154671717171717
ccomisiones_mantenimiento	0.00500899451975263	0.00924768009512507	0.00370896464646465
ccomisiones_otras	0.00495371118599926	0.00446595521172488	0.00757575757575758
mautoservicio	0.00473601188247286	0.0094152008975957	0.0148358585858586
Master_mlimitecompra	0.00452785794780833	0.00888803807618584	0.00923295454545455
Master_msaldopesos	0.00417257457389705	0.00760174618531882	0.00536616161616162
ctransferencias_emitidas	0.00413852045038008	0.0112441478685429	0.0124684343434343
mttarjeta_visa_debitos_automaticos	0.00378089200775275	0.00599003921220366	0.00773358585858586
tcallcenter	0.0037085852244513	0.00359236768986746	0.00181502525252525
ctarjeta_master	0.00356670032197891	0.000254734537713247	0.000473484848484849
mplazo_fijo_dolares	0.00348662195631093	0.0190803891791371	0.00441919191919192
ctarjeta_visa_debitos_automaticos	0.00341466319754748	0.00959245525407781	0.00678661616161616
