Feature	Gain	Cover	Frequency
ctrx_quarter	0.244818385982082	0.035515962346384	0.0244821092278719
cpayroll_trx	0.118228147085583	0.0496104095517052	0.0188323917137476
mtarjeta_visa_consumo	0.0785382072456772	0.0157841172632976	0.0203389830508475
mcuentas_saldo	0.0755606322454027	0.0325077390246889	0.0391713747645951
ctarjeta_visa_transacciones	0.0487576791155614	0.0176175406046971	0.0184557438794727
mcaja_ahorro	0.0303052207111356	0.0204070404481313	0.0305084745762712
mprestamos_personales	0.0302993463817837	0.0281450704795695	0.0154425612052731
mactivos_margen	0.0216655774981984	0.0280694427993261	0.0297551789077213
Visa_status	0.0181920688323026	0.026791990802757	0.00602636534839925
mrentabilidad_annual	0.0181057424796706	0.0200426165181306	0.0252354048964218
Visa_mpagominimo	0.0169082078432885	0.0409789327177652	0.0425612052730697
Master_fechaalta	0.0151191129633554	0.0139564342752469	0.0248587570621469
mpayroll	0.0135979741599933	0.0433474227398172	0.0210922787193974
cproductos	0.0122325049462004	0.0200126840735759	0.0154425612052731
cliente_edad	0.00963626024917311	0.0246142558413279	0.0327683615819209
mtransferencias_recibidas	0.00884090228696273	0.0156513052113676	0.0222222222222222
Visa_msaldopesos	0.00855424213018352	0.00729108325373545	0.0143126177024482
chomebanking_transacciones	0.00847572246729063	0.0161675408356599	0.0203389830508475
mcuenta_corriente	0.00797911230815656	0.0128952359720178	0.0184557438794727
thomebanking	0.00780805132930469	0.00341633631396756	0.00564971751412429
Visa_fechaalta	0.0076015649953098	0.0136387339555438	0.023728813559322
ccomisiones_mantenimiento	0.00730820409341946	0.00128026738279303	0.00338983050847458
Master_status	0.00689195502203943	0.0123854150450801	0.00338983050847458
mpasivos_margen	0.00667513306263259	0.00869046507584196	0.0146892655367232
Master_Fvencimiento	0.00642428892472589	0.0118545040093629	0.023728813559322
Visa_mconsumospesos	0.00623855662680086	0.0125388114477852	0.0195856873822976
mcomisiones_mantenimiento	0.0061521093641085	0.0115489924575635	0.0109227871939736
mrentabilidad	0.00614625718555038	0.0117435491325188	0.0192090395480226
numero_de_cliente	0.00598954447136831	0.0212839658224925	0.0229755178907721
Visa_mpagospesos	0.00574172489459244	0.0128183270381635	0.0203389830508475
Visa_Fvencimiento	0.00563704588395777	0.0106545678562533	0.0184557438794727
tcallcenter	0.00551086119474583	0.00723387359414869	0.00376647834274953
cmobile_app_trx	0.00509865685873704	0.00973173651370151	0.016195856873823
mcuenta_debitos_automaticos	0.00507124978971839	0.0137093377729445	0.0109227871939736
Master_msaldopesos	0.00496294031774082	0.0145349539977692	0.00790960451977401
Visa_msaldototal	0.00487665942920462	0.00500782188470855	0.0120527306967985
Master_mfinanciacion_limite	0.00487438248192441	0.00862265978606504	0.0169491525423729
mcaja_ahorro_dolares	0.00466619234243278	0.00653638273041416	0.0124293785310734
ctarjeta_debito_transacciones	0.00419325899641392	0.0215026640128533	0.0143126177024482
ccomisiones_otras	0.00418936947450962	0.00619461675900628	0.00979284369114878
ccallcenter_transacciones	0.00418774070379421	0.00853949631155745	0.00338983050847458
ccaja_ahorro	0.00400953987779443	0.0229082750877128	0.00564971751412429
mtransferencias_emitidas	0.00400838537492739	0.0231976782470751	0.0218455743879473
mcomisiones	0.00389552392542004	0.00584174097010387	0.0109227871939736
mtarjeta_master_consumo	0.0038533562451595	0.00569572863426154	0.00376647834274953
Visa_mconsumosdolares	0.00379650511208764	0.00538606986682684	0.0101694915254237
Visa_cconsumos	0.00379047925026757	0.00884965240769638	0.0116760828625235
Master_mlimitecompra	0.00378615534052652	0.0164158258692724	0.0105461393596987
Visa_mfinanciacion_limite	0.003650244336625	0.00540570170669387	0.0112994350282486
mttarjeta_visa_debitos_automaticos	0.00344887231421976	0.00412701903231433	0.0101694915254237
mautoservicio	0.00340129461730624	0.0118284068963408	0.0146892655367232
mcomisiones_otras	0.00338473479263047	0.00621227614265653	0.0109227871939736
cliente_antiguedad	0.00324120731110765	0.00869013633313916	0.015819209039548
mplazo_fijo_dolares	0.0032099866197806	0.0194549172878302	0.00414312617702448
ctarjeta_master	0.00295369912154498	0.000326584801978714	0.000753295668549906
ccuenta_debitos_automaticos	0.00256022244052876	0.00289966236607149	0.00338983050847458
mpagomiscuentas	0.00230542242113315	0.0114836569527075	0.00866290018832392
ctransferencias_emitidas	0.00197593124210724	0.0171074583694571	0.0195856873822976
ccaja_seguridad	0.00190641085803566	0.00581911672871137	0.00263653483992467
Visa_mpagosdolares	0.00175585479205417	0.010158663703734	0.00451977401129944
