Feature	Gain	Cover	Frequency
ctrx_quarter	0.152844917444288	0.0328329604437452	0.0251551418439716
cpayroll_trx	0.0910215691318662	0.0284548383161204	0.0080895390070922
mtarjeta_visa_consumo	0.0731750980254501	0.0174531842861132	0.0214982269503546
mcuentas_saldo	0.0614353382177602	0.0308763874559716	0.0509751773049645
ctarjeta_visa_transacciones	0.0386818253049864	0.0187144819729127	0.0246010638297872
mpayroll	0.0274992881608526	0.0497269338789162	0.023936170212766
mcaja_ahorro	0.0252945771760629	0.013914709673057	0.0252659574468085
mprestamos_personales	0.0199352139009572	0.0228960070408458	0.00775709219858156
mactivos_margen	0.0198671350872954	0.0220943840538893	0.0198359929078014
Visa_mpagominimo	0.0188647438189955	0.035325779019428	0.0397828014184397
mrentabilidad_annual	0.0186189985368861	0.016401100007006	0.0226063829787234
cliente_edad	0.0167805862934765	0.025978298154311	0.0291445035460993
Master_fechaalta	0.0150672822869124	0.0127083660642978	0.0241578014184397
cproductos	0.014300894803109	0.0190085463242951	0.0106382978723404
Visa_fechaalta	0.0142297122656445	0.0143920574196782	0.0270390070921986
Master_Fvencimiento	0.0132323087559647	0.0137668277872516	0.0237145390070922
Visa_Fvencimiento	0.0125707924090474	0.0124297488886334	0.0188386524822695
mtransferencias_recibidas	0.011294642138055	0.0223740633671964	0.0200576241134752
chomebanking_transacciones	0.0110689763574565	0.0127298120087028	0.0161790780141844
Visa_status	0.0108242266364903	0.0103899043096646	0.00277039007092199
mcomisiones_mantenimiento	0.0107733479836532	0.00574510712787226	0.00520833333333333
Visa_mconsumospesos	0.0107356152140231	0.0214500359438923	0.0222739361702128
mcuenta_corriente	0.0103538235637859	0.012058425568712	0.0167331560283688
numero_de_cliente	0.0103092809472816	0.0178720775184626	0.0228280141843972
Master_mfinanciacion_limite	0.0097950448314512	0.0113582551986015	0.0187278368794326
Master_status	0.00959619252792919	0.00906166424343042	0.00199468085106383
cliente_antiguedad	0.00956937716304924	0.0104487882969832	0.0202792553191489
Visa_mpagospesos	0.0093227765372468	0.0115190997816388	0.0127437943262411
cprestamos_personales	0.00924953916707059	0.0051565489520606	0.00265957446808511
mcaja_ahorro_dolares	0.0088374146701574	0.00885541096716873	0.0173980496453901
mrentabilidad	0.00841601758139959	0.0117850775193539	0.0171764184397163
Visa_mfinanciacion_limite	0.00781503697620359	0.0056583628083841	0.0120789007092199
mcomisiones	0.00777590194150167	0.00440158613355109	0.0106382978723404
cmobile_app_trx	0.00763839676859543	0.00768573881502448	0.0137411347517731
mpasivos_margen	0.00758765009018094	0.0112410044388164	0.0181737588652482
Visa_cconsumos	0.00736012918387756	0.0113443411954809	0.0154033687943262
Visa_msaldototal	0.00726466833266043	0.00957255706760496	0.0158466312056738
mtransferencias_emitidas	0.00697998093656029	0.0206371681518914	0.0249335106382979
mautoservicio	0.00695513826326422	0.0152717151974519	0.0206117021276596
Master_mlimitecompra	0.00692108317225728	0.0080204599481772	0.0117464539007092
Visa_msaldopesos	0.00688089950339751	0.0102761863120392	0.0161790780141844
mcuenta_debitos_automaticos	0.0068587903024289	0.0107399340788428	0.00986258865248227
mcomisiones_otras	0.00673223795818715	0.00721991295283274	0.0105274822695035
Master_msaldopesos	0.00645189532113393	0.00870953790690511	0.00675975177304965
Visa_mconsumosdolares	0.00639674740763192	0.00668844236632648	0.00986258865248227
ccomisiones_otras	0.00584843646727582	0.00650685839131616	0.0108599290780142
thomebanking	0.00557515461225613	0.00108906514103555	0.00221631205673759
tcallcenter	0.00551266530260111	0.00237667151544815	0.00188386524822695
ccallcenter_transacciones	0.00527743363127255	0.00512102737489371	0.00310283687943262
ctarjeta_debito_transacciones	0.00521030251558997	0.0173693262102196	0.0180629432624113
mttarjeta_visa_debitos_automaticos	0.00505375676964908	0.00602347955007979	0.00953014184397163
Master_msaldototal	0.00466695871218279	0.00487499935290419	0.00664893617021277
ccajas_otras	0.00457211727209118	0.0147073968498448	0.00166223404255319
mpagomiscuentas	0.00446281735021831	0.0153441668386598	0.00775709219858156
Master_mpagospesos	0.00390082582620505	0.00844398502424715	0.00720301418439716
Visa_mlimitecompra	0.00380876634038496	0.00465109150182333	0.00620567375886525
ctransferencias_emitidas	0.00363237964228461	0.0117887580571857	0.0124113475177305
ccomisiones_mantenimiento	0.00346547720041966	0.00830736179745535	0.00354609929078014
ctransferencias_recibidas	0.00335810013787286	0.00286438664906098	0.00476507092198582
Visa_mpagosdolares	0.00327080404646561	0.013234415130836	0.00642730496453901
Master_fultimo_cierre	0.00324405358868693	0.0114762817806649	0.00554078014184397
mplazo_fijo_dolares	0.00309484292799096	0.0218492195959833	0.0032136524822695
Visa_fultimo_cierre	0.00307472125755586	0.00617529134516357	0.00410017730496454
mtarjeta_master_consumo	0.00293669294082913	0.00352396488925767	0.00288120567375887
ctarjeta_visa_debitos_automaticos	0.00291915458258166	0.00745803497636806	0.00631648936170213
ctarjeta_debito	0.00272198742493176	0.0015920889106739	0.00410017730496454
Master_mconsumospesos	0.00268343681668758	0.00422234809733442	0.00454343971631206
ccaja_ahorro	0.00240373773070449	0.0102199761407865	0.00443262411347518
mextraccion_autoservicio	0.00228772047647325	0.00668573160634248	0.00531914893617021
tpaquete4	0.00221249971962638	0.0114550528817782	0.00332446808510638
ccuenta_debitos_automaticos	0.00215891335709521	0.00252590647225071	0.00310283687943262
mdescubierto_preacordado	0.0020385280532434	0.00568264881648612	0.00155141843971631
ccaja_seguridad	0.00197704186579432	0.00797428005066434	0.00232712765957447
matm	0.00193103402800127	0.00280165587627951	0.00509751773049645
Master_cconsumos	0.00180740294382806	0.00430578593616066	0.00332446808510638
cpagomiscuentas	0.00165224423982462	0.00259117252140564	0.00398936170212766
cinversion2	0.0014399183632481	0.00967920492292116	0.00144060283687943
